ID,Title,Author,Year,format,File
1,Gilang Engenering: Sheesshh,Gilank D. Wibowo lanks dkk,2004,PDF,ebook/PERPUS PUSAT BAB 1 DAN 2.pdf
2,Janji by Tere Liye,Tere Liye,2021,ebook/Janji by Tere Liye.pdf
3,Sendiri by Tere Liye,Tere Liye,2024,ebook/Sendiri by Tere Liye.pdf
4,Nana Oh Nana by Nitta Yennita,Nitta Yennita,None,ebook/Nana Oh Nana by Nitta Yennita.pdf
5,Sepotong Hati yang Baru,Tere Liye,2024,ebook/Sepotong Hati yang Baru by Tere Liye.pdf
6,Si Anak Pelangi,Tere Liye,2019,ebook/Si Anak Pelangi by Tere Liye.pdf
7,Nadella,Rizca,2023,ebook/Nadella by Rizca.pdf
8,Jodoh Warisan,Rahma Eko Agustin,2020,ebook/Jodoh Warisan by Rahma Eko Agustin.pdf
